x_m,y_m,w_tr_right_m,w_tr_left_m
-1.670859687439902075e+02,4.842300080297211480e+02,7.507441089892196828e+00,7.507441089892241237e+00
-1.638944554031083385e+02,4.937301526818878870e+02,7.636255193021675325e+00,7.636255193021693088e+00
-1.606812574207455100e+02,5.032223910196631209e+02,7.653928293933857319e+00,7.653928293933857319e+00
-1.575839825563709553e+02,5.127527226522620367e+02,7.869090726600726171e+00,7.869090726600774133e+00
-1.544030962210998155e+02,5.222562669054825619e+02,8.008258472867586519e+00,8.008258472867494149e+00
-1.511286322938495061e+02,5.317273467967456781e+02,8.002730054790928804e+00,8.002730054790928804e+00
-1.478972100759393413e+02,5.412137235774557666e+02,8.062263426177336711e+00,8.062263426177239012e+00
-1.446835283513302954e+02,5.507064290393316242e+02,8.156965845876513299e+00,8.156965845876610999e+00
-1.414610445718755329e+02,5.601960937153883151e+02,8.306932916260764799e+00,8.306932916260667099e+00
-1.382058071842685365e+02,5.696747666301334903e+02,8.425847782696763488e+00,8.425847782696665789e+00
-1.349938621229890714e+02,5.791681997075161235e+02,8.546576506753067903e+00,8.546576506753080338e+00
-1.317779644462274007e+02,5.886602577996054606e+02,8.666672972604796854e+00,8.666672972604704484e+00
-1.285822001887769943e+02,5.981586308370451661e+02,8.852835513939053769e+00,8.852835513939146139e+00
-1.254062695834792294e+02,6.076640178053830823e+02,8.942099875523430441e+00,8.942099875523336294e+00
-1.222264651726223832e+02,6.171679324583219568e+02,9.006058625457644240e+00,9.006058625457745492e+00
-1.189541103238937438e+02,6.266406463930762811e+02,9.138692645426740313e+00,9.138692645426740313e+00
-1.157740158019996528e+02,6.361446314335771604e+02,9.222219407846496964e+00,9.222219407846599992e+00
-1.125975151503819234e+02,6.456499393598005554e+02,9.325286937319253511e+00,9.325286937319155811e+00
-1.093803191949462104e+02,6.551408960481471695e+02,9.520001564303658625e+00,9.520001564303658625e+00
-1.062094213693465008e+02,6.646477984939515409e+02,9.657768879727116840e+00,9.657768879727006706e+00
-1.029732036930606114e+02,6.741325358918994652e+02,9.815591849827354665e+00,9.815591849827349336e+00
-9.976896757632637502e+01,6.836281750955247389e+02,9.908043751881056238e+00,9.908043751881056238e+00
-9.656634522993806513e+01,6.931245549657617175e+02,1.005591877513670518e+01,1.005591877513670518e+01
-9.334626901485789574e+01,7.026150748478132755e+02,1.015609051101525218e+01,1.015609051101535876e+01
-9.012206207401385427e+01,7.121042663225723572e+02,1.025975548028374185e+01,1.025975548028362994e+01
-8.690094143996444132e+01,7.215944296257592896e+02,1.039267055628803327e+01,1.039267055628802972e+01
-8.373159957539174059e+01,7.311018496722684858e+02,1.056813213186890543e+01,1.056813213186890543e+01
-8.047324820147007074e+01,7.405793679156217877e+02,1.067956516355544672e+01,1.067956516355555330e+01
-7.716355713530049343e+01,7.500391371999778585e+02,1.080064311029946111e+01,1.080064311029946111e+01
-7.390205732567750374e+01,7.595155258748893630e+02,1.095995935731809112e+01,1.095995935731819415e+01
-7.071006170286609915e+01,7.690153700465755264e+02,1.106397780325647950e+01,1.106397780325647950e+01
-6.751655830150878046e+01,7.785146769459144025e+02,1.119500611076755803e+01,1.119500611076755447e+01
-6.427454209206112523e+01,7.879977884945118376e+02,1.134941158723322019e+01,1.134941158723321841e+01
-6.107784642263844432e+01,7.974963607803367722e+02,1.147766174537180461e+01,1.147766174537191119e+01
-5.790796220327575838e+01,8.070038951942344738e+02,1.163064015284132680e+01,1.163064015284143515e+01
-5.481175104898588302e+01,8.165336126121725329e+02,1.185423242041272296e+01,1.185423242041272118e+01
-5.193399199717782722e+01,8.261260598360514678e+02,1.220045639458936826e+01,1.220045639458936648e+01
-4.924053034960495268e+01,8.357712136168323696e+02,1.255243725729572546e+01,1.255243725729572724e+01
-4.667365586856574566e+01,8.454577438479341254e+02,1.272959695211032383e+01,1.272959695211021725e+01
-4.440681356488151721e+01,8.552166448342783269e+02,1.295642773898070743e+01,1.295642773898070388e+01
-4.216816883235198077e+01,8.649846918468385866e+02,1.315763527573313496e+01,1.315763527573302483e+01
-3.986139677569431683e+01,8.747375007761584129e+02,1.329354889333571599e+01,1.329354889333571599e+01
-3.732992003671962777e+01,8.844321051920428545e+02,1.333614288487676447e+01,1.333614288487687460e+01
-3.462246902522063863e+01,8.940771729799359946e+02,1.332994252629354826e+01,1.332994252629365661e+01
-3.177535210935688781e+01,9.036800475254718776e+02,1.330894132256225149e+01,1.330894132256225326e+01
-2.879071653277524234e+01,9.132466566440822362e+02,1.342735933232344259e+01,1.342735933232344259e+01
-2.563561793468547023e+01,9.227588648388789352e+02,1.354038781919342505e+01,1.354038781919342505e+01
-2.256669553842375819e+01,9.322990850431863237e+02,1.371937395357709200e+01,1.371937395357697831e+01
-1.920109143555681186e+01,9.417232895526512948e+02,1.366917450182899252e+01,1.366917450182910443e+01
-1.456965201470829996e+01,9.505157995459474023e+02,1.311045758798911720e+01,1.311045758798911720e+01
-8.230908313483968897e+00,9.581204744551778276e+02,1.226876414859048836e+01,1.226876414859060382e+01
-4.248795785790068225e-01,9.640872049863102120e+02,1.091100153625608726e+01,1.091100153625608726e+01
8.806704200163691709e+00,9.675458033567051643e+02,9.668660931135496739e+00,9.668660931135496739e+00
1.876764149545002169e+01,9.674690528903428230e+02,9.257840948548318849e+00,9.257840948548318849e+00
2.812112074921690663e+01,9.640838666311683482e+02,9.972054669599566878e+00,9.972054669599678789e+00
3.628641616215773524e+01,9.584139308294365946e+02,1.093632151739807057e+01,1.093632151739807234e+01
4.293547480184127352e+01,9.510202358382572356e+02,1.174202274270346180e+01,1.174202274270346180e+01
4.769486609095420704e+01,9.423061083214674909e+02,1.252254990074908392e+01,1.252254990074897556e+01
5.046823608906470326e+01,9.327335477133431141e+02,1.298718897366688019e+01,1.298718897366688019e+01
5.208229556782691816e+01,9.228479036862879639e+02,1.274172330790775121e+01,1.274172330790785601e+01
5.356924951573294891e+01,9.129391900304198089e+02,1.248386113897851857e+01,1.248386113897851857e+01
5.509954356646820628e+01,9.030365355302684520e+02,1.223596250407730501e+01,1.223596250407730501e+01
5.654728399208791245e+01,8.931212232383586525e+02,1.203217478923059680e+01,1.203217478923059680e+01
5.773012180995572606e+01,8.831701286256519552e+02,1.196134659757690244e+01,1.196134659757690244e+01
5.896499450688207133e+01,8.732246773850803265e+02,1.184590950944411247e+01,1.184590950944411247e+01
6.019441619521619202e+01,8.632784580549348448e+02,1.171441216341913005e+01,1.171441216341903235e+01
6.146025932659111390e+01,8.533370337271560402e+02,1.157317705885293435e+01,1.157317705885293613e+01
6.262897551427346343e+01,8.433874303800203052e+02,1.139178788010796595e+01,1.139178788010786292e+01
6.379934836240103380e+01,8.334347163143601165e+02,1.126455140365630569e+01,1.126455140365630925e+01
6.499934548149251157e+01,8.234848314938224121e+02,1.111252750935758193e+01,1.111252750935767786e+01
6.616165175754437655e+01,8.135305267013636694e+02,1.094479193426816366e+01,1.094479193426826669e+01
6.739961615566639352e+01,8.035853397537068759e+02,1.082167451511623035e+01,1.082167451511612377e+01
6.853371290574057184e+01,7.936280081192372791e+02,1.071769524005589247e+01,1.071769524005588536e+01
6.974756848227187334e+01,7.836802395333694449e+02,1.056458157174874124e+01,1.056458157174874124e+01
7.089939219569802731e+01,7.737246366178521839e+02,1.043696140785203319e+01,1.043696140785212378e+01
7.205379909116226145e+01,7.637694414534778389e+02,1.026850188584741375e+01,1.026850188584742085e+01
7.327926956102430722e+01,7.538227554927304936e+02,1.011515995435976834e+01,1.011515995435987136e+01
7.446853448250840302e+01,7.438722548825751346e+02,1.005740031123884393e+01,1.005740031123883682e+01
7.565169401666210547e+01,7.339203364787103965e+02,9.949430468007829376e+00,9.949430468007923523e+00
7.692183969146876166e+01,7.239792847267240177e+02,9.810954539761629789e+00,9.810954539761629789e+00
7.812553329998331719e+01,7.140305267685769195e+02,9.688103489861999762e+00,9.688103489861916273e+00
7.936553556784051011e+01,7.040863288012419616e+02,9.594371140018591149e+00,9.594371140018690625e+00
8.056849348246896625e+01,6.941367732214313264e+02,9.472316660499418006e+00,9.472316660499409124e+00
8.178121973172241610e+01,6.841883955409316513e+02,9.358489975004570027e+00,9.358489975004667727e+00
8.294856528783560634e+01,6.742347080649210511e+02,9.278541942204071802e+00,9.278541942204169501e+00
8.392621841426424112e+01,6.642620907908624304e+02,9.265193428527290109e+00,9.265193428527203068e+00
8.467941501099213042e+01,6.542704731232483937e+02,9.271161174163893293e+00,9.271161174163884411e+00
8.514736492661538136e+01,6.442618832754360483e+02,9.291570674782823502e+00,9.291570674782834161e+00
8.532462258839383651e+01,6.342443406713491640e+02,9.336555343616664615e+00,9.336555343616664615e+00
8.527345872767438095e+01,6.242251496784508618e+02,9.351904598547958969e+00,9.351904598547950087e+00
8.488511443324458128e+01,6.142133036272402933e+02,9.378576173042352693e+00,9.378576173042418418e+00
8.421872685826811278e+01,6.042152489584495925e+02,9.387056870371390360e+00,9.387056870371313977e+00
8.334621688300742903e+01,5.942347676594573613e+02,9.426945344524151338e+00,9.426945344524161996e+00
8.208518052083636007e+01,5.842947554470925979e+02,9.439172610081064008e+00,9.439172610081064008e+00
8.061026021298160060e+01,5.743880787219655986e+02,9.531622825692103618e+00,9.531622825692103618e+00
7.874676768129070581e+01,5.645410902100562680e+02,9.445654741770999507e+00,9.445654741770999507e+00
7.663797950701905393e+01,5.547455859043441251e+02,9.430895288510789953e+00,9.430895288510853902e+00
7.426007845302092392e+01,5.450142465811539978e+02,9.507614643166562018e+00,9.507614643166574453e+00
7.171942167053562400e+01,5.353216114110557555e+02,9.503862773985460421e+00,9.503862773985524370e+00
6.874726147950552502e+01,5.257533440143956796e+02,9.523025092164250083e+00,9.523025092164195016e+00
6.575563556442159552e+01,5.161883416118579362e+02,9.431598748488790207e+00,9.431598748488774220e+00
6.279887785989362214e+01,5.066129721398160655e+02,9.251599337723042993e+00,9.251599337723074967e+00
5.975897105935549547e+01,4.970632348801375429e+02,9.122319653078742263e+00,9.122319653078768908e+00
5.680171699267167185e+01,4.874881277878587298e+02,8.953495524997519439e+00,8.953495524997551414e+00
