x_m,y_m,w_tr_right_m,w_tr_left_m
2.482572989134245063e+02,3.851319746052298854e+01,8.729815266201255142e+00,8.729815266201276458e+00
2.463979786698886869e+02,3.824162196848417494e+01,8.724536086625752418e+00,8.724536086625771958e+00
2.445381438134024279e+02,3.797340149273241394e+01,8.716865636685538377e+00,8.716865636685540153e+00
2.426776597638616408e+02,3.770944612586631450e+01,8.704821461632318957e+00,8.704821461632342050e+00
2.408171387734261373e+02,3.744569394143574215e+01,8.691621095517099604e+00,8.691621095517103157e+00
2.389573051840619087e+02,3.717727192945619663e+01,8.681212954667252291e+00,8.681212954667257620e+00
2.370988629554479132e+02,3.689982305776408111e+01,8.677206160273533087e+00,8.677206160273538416e+00
2.352415227773803963e+02,3.661550750174549762e+01,8.678015182558379337e+00,8.678015182558377560e+00
2.333841129699505927e+02,3.633153117779835384e+01,8.677868487574786016e+00,8.677868487574803780e+00
2.315255102115619934e+02,3.605491659646980906e+01,8.671103889770096274e+00,8.671103889770099826e+00
2.296653824564279489e+02,3.578834861643189669e+01,8.655766517385901082e+00,8.655766517385924175e+00
2.278039954206308266e+02,3.553071449539436344e+01,8.633060509975502228e+00,8.633060509975519992e+00
2.259417140316928965e+02,3.527981704611770652e+01,8.605050577369441456e+00,8.605050577369445008e+00
2.240800423757323188e+02,3.502431647469813925e+01,8.581105152379036483e+00,8.581105152379032930e+00
2.222213745713654021e+02,3.474834194417002209e+01,8.574518071280303744e+00,8.574518071280278875e+00
2.203670840750252751e+02,3.444669780742373177e+01,8.590391427355392295e+00,8.590391427355417164e+00
2.185138306828577015e+02,3.413962966359963502e+01,8.612110019676995520e+00,8.612110019676993744e+00
2.166575101690321503e+02,3.384960277960758646e+01,8.620379038054318599e+00,8.620379038054295506e+00
2.147980773746500915e+02,3.357854590077570833e+01,8.613353036864833001e+00,8.613353036864833001e+00
2.129380770609041349e+02,3.331121641604165973e+01,8.603474352174055539e+00,8.603474352174048434e+00
2.110788104403470697e+02,3.303903998270644848e+01,8.597591398166740007e+00,8.597591398166757770e+00
2.092197267041743771e+02,3.276565096971522451e+01,8.592410250777525960e+00,8.592410250777540170e+00
2.073601137544824553e+02,3.249568438382774360e+01,8.583757531563534826e+00,8.583757531563534826e+00
2.054998314383499860e+02,3.223018868291465111e+01,8.570457694778362168e+00,8.570457694778362168e+00
2.036391849508273140e+02,3.196720116514602950e+01,8.553869398231332966e+00,8.553869398231348953e+00
2.017784597296565323e+02,3.170476709743969579e+01,8.535611635810159470e+00,8.535611635810159470e+00
1.999179186328842661e+02,3.144103186681657292e+01,8.517354396939570194e+00,8.517354396939554206e+00
1.980578297333530600e+02,3.117412986076870496e+01,8.500796743516946918e+00,8.500796743516929155e+00
1.961983430534113211e+02,3.090309230357657810e+01,8.486907433698592129e+00,8.486907433698590353e+00
1.943393191976601315e+02,3.062893701481312547e+01,8.474973652893467602e+00,8.474973652893483589e+00
1.924805648197546475e+02,3.035298443576150262e+01,8.464022651840906519e+00,8.464022651840926059e+00
1.906218815868709555e+02,3.007654941430935125e+01,8.453069199276958656e+00,8.453069199276958656e+00
1.887630710448230218e+02,2.980094233044000873e+01,8.441123034139591752e+00,8.441123034139593528e+00
1.869039380888786468e+02,2.952747912555498289e+01,8.427186253831239426e+00,8.427186253831235874e+00
1.850442490457551798e+02,2.925780872150749090e+01,8.409972691925450050e+00,8.409972691925430510e+00
1.831834466997567006e+02,2.899609043966129107e+01,8.386066431553315326e+00,8.386066431553315326e+00
1.813210093275984036e+02,2.874701817098807055e+01,8.351648433353549450e+00,8.351648433353565437e+00
1.794577077303684121e+02,2.850510766471911950e+01,8.311505766245304017e+00,8.311505766245304017e+00
1.775953300389085996e+02,2.825550342532245907e+01,8.278271698198057749e+00,8.278271698198055972e+00
1.757357249624458291e+02,2.798540779502182829e+01,8.263110016085672527e+00,8.263110016085651210e+00
1.738779405549342414e+02,2.770327385687645716e+01,8.259144991673407432e+00,8.259144991673407432e+00
1.720188212613547023e+02,2.742988591671618792e+01,8.248528570860754527e+00,8.248528570860754527e+00
1.701560726199547275e+02,2.718322664432471214e+01,8.215934223417683313e+00,8.215934223417667326e+00
1.682910609770065093e+02,2.695631860673097790e+01,8.167519045526232091e+00,8.167519045526214327e+00
1.664260548313401387e+02,2.672918077359599920e+01,8.120130384063466877e+00,8.120130384063449114e+00
1.645626248587234670e+02,2.648768742902144169e+01,8.085678693077868573e+00,8.085678693077868573e+00
1.627005238260959459e+02,2.623539621570571967e+01,8.061254182797776835e+00,8.061254182797773282e+00
1.608389452965544422e+02,2.597912650814706836e+01,8.041059978060461688e+00,8.041059978060459912e+00
1.589774153494397240e+02,2.572248461899870620e+01,8.021973055233756256e+00,8.021973055233754479e+00
1.571158861993196467e+02,2.546582446696814017e+01,8.003930693724576884e+00,8.003930693724576884e+00
1.552542984562313677e+02,2.520958086355221894e+01,7.987238735390526756e+00,7.987238735390512545e+00
1.533925916541356287e+02,2.495420485730394233e+01,7.972221274021228155e+00,7.972221274021242365e+00
1.515307100627909449e+02,2.470012531369137321e+01,7.959190004211720293e+00,7.959190004211704306e+00
1.496687833036538393e+02,2.444639337219421193e+01,7.947247260740118335e+00,7.947247260740118335e+00
1.478071841181922537e+02,2.419024895793580754e+01,7.933909389184243821e+00,7.933909389184240268e+00
1.459463248737689582e+02,2.392878906735180067e+01,7.916536855776968196e+00,7.916536855776984183e+00
1.440866549240258223e+02,2.365919235477515770e+01,7.892511015615836456e+00,7.892511015615822245e+00
1.422284677969489053e+02,2.338004488235998934e+01,7.860422522126633282e+00,7.860422522126649270e+00
1.403711653079463986e+02,2.309545913896316449e+01,7.823811979031622954e+00,7.823811979031622954e+00
1.385138748609550419e+02,2.281077977257162814e+01,7.787387523836066805e+00,7.787387523836065029e+00
